Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_AG,"Men's Track, Outdoor",Head Coach,Male-Other,3,2,3,4,7,5,7,6
Division I_FBS_AG,"Men's Track, Outdoor",Head Coach,Male-White,40,38,36,37,36,37,33,35
Division I_FBS_AG,"Men's Track, Outdoor",Student-Athlete,Female-Black,0,0,0,14,0,0,0,0
Division I_FBS_AG,"Men's Track, Outdoor",Student-Athlete,Male-Black,633,662,678,667,639,644,665,667
Division I_FBS_AG,"Men's Track, Outdoor",Student-Athlete,Male-Other,389,428,439,486,542,575,600,583
Division I_FBS_AG,"Men's Track, Outdoor",Student-Athlete,Male-White,1581,1500,1640,1622,1529,1455,1408,1347
Division I_FBS_AG,Men's Volleyball,Assistant Coach,Female-White,0,1,1,1,0,0,0,0
Division I_FBS_AG,Men's Volleyball,Assistant Coach,Male-Other,1,1,2,4,4,4,3,4
Division I_FBS_AG,Men's Volleyball,Assistant Coach,Male-White,9,8,7,8,6,7,9,8
Division I_FBS_AG,Men's Volleyball,Head Coach,Male-Other,0,0,0,0,1,0,0,0
Division I_FBS_AG,Men's Volleyball,Head Coach,Male-White,5,5,5,5,4,5,5,5
Division I_FBS_AG,Men's Volleyball,Student-Athlete,Male-Black,1,2,1,0,0,2,4,4
Division I_FBS_AG,Men's Volleyball,Student-Athlete,Male-Other,18,23,21,20,18,22,25,25
Division I_FBS_AG,Men's Volleyball,Student-Athlete,Male-White,91,81,84,74,76,80,77,83
Division I_FBS_AG,Men's Water Polo,Assistant Coach,Female-Other,0,0,0,0,0,0,0,1
Division I_FBS_AG,Men's Water Polo,Assistant Coach,Male-Other,3,0,1,2,0,2,1,2
Division I_FBS_AG,Men's Water Polo,Assistant Coach,Male-White,5,5,5,5,5,6,6,5
Division I_FBS_AG,Men's Water Polo,Head Coach,Male-Other,1,0,0,0,0,1,0,1
Division I_FBS_AG,Men's Water Polo,Head Coach,Male-White,3,4,4,4,4,3,4,3
Division I_FBS_AG,Men's Water Polo,Student-Athlete,Male-Black,1,2,1,2,1,1,2,1
Division I_FBS_AG,Men's Water Polo,Student-Athlete,Male-Other,33,46,41,36,29,26,19,25
Division I_FBS_AG,Men's Water Polo,Student-Athlete,Male-White,110,91,95,84,82,88,96,87
Division I_FBS_AG,Men's Wrestling,Assistant Coach,Female-Other,0,0,1,0,0,0,0,0
Division I_FBS_AG,Men's Wrestling,Assistant Coach,Female-White,0,0,0,0,0,1,1,1
Division I_FBS_AG,Men's Wrestling,Assistant Coach,Male-Black,3,3,3,6,4,5,5,4
Division I_FBS_AG,Men's Wrestling,Assistant Coach,Male-Other,4,4,3,6,10,11,7,6
Division I_FBS_AG,Men's Wrestling,Assistant Coach,Male-White,55,55,52,55,51,52,55,57
Division I_FBS_AG,Men's Wrestling,Head Coach,Male-Black,3,4,4,4,3,3,2,3
Division I_FBS_AG,Men's Wrestling,Head Coach,Male-Other,0,0,0,0,2,0,1,1
Division I_FBS_AG,Men's Wrestling,Head Coach,Male-White,22,22,23,25,24,25,25,24
Division I_FBS_AG,Men's Wrestling,Student-Athlete,Male-Black,67,62,63,70,76,76,63,74
Division I_FBS_AG,Men's Wrestling,Student-Athlete,Male-Other,122,122,148,143,168,185,171,215
Division I_FBS_AG,Men's Wrestling,Student-Athlete,Male-White,630,714,755,782,732,698,682,675
Division I_FBS_AG,Women's Basketball,Assistant Coach,Female-Black,54,66,69,75,69,76,77,76
Division I_FBS_AG,Women's Basketball,Assistant Coach,Female-Other,4,3,3,5,10,8,7,9
Division I_FBS_AG,Women's Basketball,Assistant Coach,Female-White,54,47,47,49,44,49,42,44
Division I_FBS_AG,Women's Basketball,Assistant Coach,Male-Black,27,30,32,33,35,31,30,29
Division I_FBS_AG,Women's Basketball,Assistant Coach,Male-Other,3,5,4,4,8,6,7,7
Division I_FBS_AG,Women's Basketball,Assistant Coach,Male-White,35,32,33,27,30,29,34,32
Division I_FBS_AG,Women's Basketball,Head Coach,Female-Black,7,7,8,8,8,9,6,8
Division I_FBS_AG,Women's Basketball,Head Coach,Female-Other,1,1,0,0,2,0,1,1
Division I_FBS_AG,Women's Basketball,Head Coach,Female-White,30,29,34,34,34,34,33,34
